journal,aliases,sjr,quartile,year,source_url
Cell,Cell (Cambridge Mass),22.612,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser?issn=1097-4172
Nature Medicine,Nat Med,18.333,Q1,2024,https://journalpublishingguide.vu.nl/WebQuery/vubrowser/64
Nature,Nature (London),18.288,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/60
The Lancet Neurology,Lancet Neurol,11.729,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=130033&tip=sid
Nature Neuroscience,Nat Neurosci,11.197,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser?issn=1546-1726
Science,"Science (New York NY)|Science (New York, N.Y.)",10.416,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/80
Nature Aging,Nat Aging,7.081,Q1,2024,https://library.wur.nl/WebQuery/utbrowser/88796
Neuron,,6.755,Q1,2024,https://library.wur.nl/WebQuery/utbrowser?issn=1097-4199
JAMA Neurology,Arch Neurol|Archives of Neurology,6.237,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=21100256988&tip=sid
Nature Reviews Neurology,Nat Rev Neurol,5.828,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=19700188323&tip=sid
Molecular Neurodegeneration,Mol Neurodegener,5.488,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/22280
Brain,Brain (Oxford England)|Brain (Oxford)|Brain : a journal of neurology,4.720,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/229
Acta Neuropathologica,Acta Neuropathol,4.483,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=15742&tip=sid
Annals of Neurology,Ann Neurol,3.736,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser?issn=1531-8249
"Alzheimer's and Dementia","Alzheimer's & Dementia|Alzheimers Dement|Alzheimer's & dementia : the journal of the Alzheimer's Association",3.600,Q1,2024,https://kniznica.umb.sk/app/cmsFile.php?ID=22049&disposition=i
"Journal of Neurology, Neurosurgery and Psychiatry","J Neurol Neurosurg Psychiatry|Journal of Neurology Neurosurgery and Psychiatry|Journal of neurology, neurosurgery, and psychiatry",3.379,Q1,2024,https://www.scimagojr.com/journalrank.php?ord=desc&order=h&page=23&total_size=24701&type=j
Neuroscience and Biobehavioral Reviews,Neurosci Biobehav Rev,3.076,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=18045&tip=sid
Movement Disorders,Mov Disord,2.988,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=16691&tip=sid
"npj Parkinson's Disease","NPJ Parkinsons Dis|NPJ Parkinson's disease|npj Parkinsons Disease",2.914,Q1,2024,https://www.scimagojr.com/journalrank.php?country=US&ord=desc&order=cpd&page=18&total_size=6709
Brain Behavior and Immunity,Brain Behav Immun,2.704,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=17303&tip=sid
Neurology,Neurology (Minneapolis Minn),2.401,Q1,2024,https://library.wur.nl/WebQuery/utbrowser?issn=1526-632X
Developmental Cognitive Neuroscience,Dev Cogn Neurosci,2.094,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=21100202970&tip=sid
Brain Communications,Brain Commun,1.860,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=21101043582&tip=sid
Current Opinion in Neurology,Curr Opin Neurol,1.606,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=18397&tip=sid
