journal,aliases,sjr,quartile,year,source_url
The Lancet Respiratory Medicine,Lancet Respir Med|The Lancet. Respiratory medicine,7.652,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=2213-2600
American Journal of Respiratory and Critical Care Medicine,Am J Respir Crit Care Med|American journal of respiratory and critical care medicine,5.423,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=1073-449X
European Respiratory Journal,Eur Respir J|European respiratory journal,5.076,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=0903-1936
Thorax,,2.479,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=0040-6376
Chest,CHEST,2.047,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=0012-3692
American Journal of Respiratory Cell and Molecular Biology,Am J Respir Cell Mol Biol|American journal of respiratory cell and molecular biology,1.863,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=1044-1549
Respiratory Research,Respir Res|Respiratory research,1.609,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=1465-993X
Annals of the American Thoracic Society,Ann Am Thorac Soc|Annals of the American Thoracic Society,1.591,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=2329-6933
ERJ Open Research,ERJ Open Res|ERJ open research,1.361,Q1,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=2312-0541
International Journal of Chronic Obstructive Pulmonary Disease,Int J Chron Obstruct Pulmon Dis|International journal of chronic obstructive pulmonary disease,1.145,Q2,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=1178-2005
COPD,COPD (Monticello NY),0.622,Q2,2025,https://library.wur.nl/WebQuery/wurbrowser?issn=1541-2555
Cell,Cell (Cambridge Mass),22.612,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser?issn=1097-4172
Nature Medicine,Nat Med,18.333,Q1,2024,https://journalpublishingguide.vu.nl/WebQuery/vubrowser/64
Nature,Nature (London),18.288,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/60
Science,Science (New York NY)|Science (New York N.Y.),10.416,Q1,2024,https://library.wur.nl/WebQuery/wurbrowser/80
Science Translational Medicine,Sci Transl Med|Science translational medicine,6.722,Q1,2024,https://www.iit.comillas.edu/publicacion/info_revista/en/326/Science_Translational_Medicine
Nature Communications,Nat Commun,4.761,Q1,2024,https://www.scimagojr.com/journalsearch.php?q=19700182758&tip=sid
Science Advances,Sci Adv,4.324,Q1,2024,https://kniznica.umb.sk/app/cmsFile.php?ID=21690&disposition=i
Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A|PNAS,3.414,Q1,2024,https://www.iit.comillas.edu/publicacion/info_revista/en/499/Proceedings_of_the_National_Academy_of_Sciences_of_the_United_States_of_America
